"ID"	"ANSWER"	"TYPE"	"QUESTION_ID"	"ROW_QUESTION"	"COLUMN_QUESTION_ID"	"COL_ID"	"ROW_ID"	"DATETIME"	"RESPONDENT"	"SECRET"	"ADDR_RFI_DATA_ID"	"TABLE_QUESTION"	"CASE_REFERENCE"	"ADDRESSEE_QUESTION_ID"
34495	"Worldwide"	"CHOICE"	33453	"Microsoft"	33476	33475	33534	13-NOV-24 03.28.24.884000000 PM	"OutlookACC"	0	33558	1	"DMA.400213"	33868
34497	"Worldwide"	"CHOICE"	33453	"Facebook"	33476	33475	33537	13-NOV-24 03.28.24.884000000 PM	"OutlookACC"	0	33558	1	"DMA.400213"	33868
34499	"National"	"CHOICE"	33453	"Yahoo"	33476	33475	33540	13-NOV-24 03.28.24.884000000 PM	"OutlookACC"	0	33558	1	"DMA.400213"	33868
34503	"2"	"RATING"	33453	"Amazon"	33501	33500	33531	13-NOV-24 03.28.24.884000000 PM	"OutlookACC"	0	33558	1	"DMA.400213"	33868
34505	"3"	"RATING"	33453	"Microsoft"	33501	33500	33534	13-NOV-24 03.28.24.884000000 PM	"OutlookACC"	0	33558	1	"DMA.400213"	33868
34507	"4"	"RATING"	33453	"Facebook"	33501	33500	33537	13-NOV-24 03.28.24.884000000 PM	"OutlookACC"	0	33558	1	"DMA.400213"	33868
34511	"1"	"CURRENCY"	33453	"Google"	33521	33520	33528	13-NOV-24 03.28.24.884000000 PM	"OutlookACC"	0	33558	1	"DMA.400213"	33868
34513	"11"	"CURRENCY"	33453	"Amazon"	33521	33520	33531	13-NOV-24 03.28.24.884000000 PM	"OutlookACC"	0	33558	1	"DMA.400213"	33868
34515	"111"	"CURRENCY"	33453	"Microsoft"	33521	33520	33534	13-NOV-24 03.28.24.884000000 PM	"OutlookACC"	0	33558	1	"DMA.400213"	33868
34517	"1"	"CURRENCY"	33453	"Facebook"	33521	33520	33537	13-NOV-24 03.28.24.884000000 PM	"OutlookACC"	0	33558	1	"DMA.400213"	33868
33973	"<p>OK</p>"	"SIMPLE_TEXT"	33036	""				13-NOV-24 03.13.58.339000000 PM	"OutlookACC"	0	33558	0	"DMA.400213"	33036
37713	"<p><strong>My fifth question, mandatory. No min or max length</strong></p>"	"SIMPLE_TEXT"	37042	""				20-NOV-24 01.49.19.828000000 PM	"OutlookACC"	0	37571	0	"M.8871"	37042
37844	"111"	"NUMBER"	37270	""				20-NOV-24 01.51.05.862000000 PM	"OutlookACC"	0	37571	0	"M.8871"	37270
37845	"test@test.test"	"EMAIL"	37306	""				20-NOV-24 01.51.05.862000000 PM	"OutlookACC"	0	37571	0	"M.8871"	37306
37846	"01:00"	"TIME"	37333	""				20-NOV-24 01.51.05.862000000 PM	"OutlookACC"	0	37571	0	"M.8871"	37333
37847	"3"	"RATING"	37339	""				20-NOV-24 01.51.05.862000000 PM	"OutlookACC"	0	37571	0	"M.8871"	37339
37933	"<p><strong>My fifth question, mandatory. No min or max length</strong></p>"	"SIMPLE_TEXT"	37042	""				20-NOV-24 01.52.41.769000000 PM	"Collab"	0	37574	0	"M.8871"	37042
37931	"Another Option|It's so cool to do test questionnaires|Option 2.4"	"CHOICE"	37153	""				20-NOV-24 01.52.41.769000000 PM	"Collab"	0	37574	0	"M.8871"	37153
37934	"111"	"NUMBER"	37270	""				20-NOV-24 01.52.41.769000000 PM	"Collab"	0	37574	0	"M.8871"	37270
37935	"test@test.test"	"EMAIL"	37306	""				20-NOV-24 01.52.41.769000000 PM	"Collab"	0	37574	0	"M.8871"	37306
37936	"00:01"	"TIME"	37333	""				20-NOV-24 01.52.41.769000000 PM	"Collab"	0	37574	0	"M.8871"	37333
37937	"3"	"RATING"	37339	""				20-NOV-24 01.52.41.769000000 PM	"Collab"	0	37574	0	"M.8871"	37339
33970	"<p><confidential-highlight-start name=""55055f65-0947-464f-8197-0404d9136de5""></confidential-highlight-start><span class=""confidential-highlight"">FIrst section</span><confidential-highlight-end name=""55055f65-0947-464f-8197-0404d9136de5""></confidential-highlight-end></p>"	"SIMPLE_TEXT"	33027	""				13-NOV-24 03.13.58.339000000 PM	"OutlookACC"	1	33558	0	"DMA.400213"	33027
34222	"Option 1"	"CHOICE"	33066	""				13-NOV-24 03.18.55.696000000 PM	"OutlookACC"	0	33558	0	"DMA.400213"	33066
33966	"Option 1|It's so cool to do test questionnaires|Option 2.4"	"CHOICE"	33147	""				13-NOV-24 03.21.04.229000000 PM	"OutlookACC"	0	33558	0	"DMA.400213"	33147
50142	"2"	"RATING"	37339	""				03-DEC-24 04.46.37.227000000 PM	"DG COMP"	0	50057	0	"M.8871"	37339
50135	"4"	"RATING"	37342	""				03-DEC-24 04.46.37.227000000 PM	"DG COMP"	0	50057	0	"M.8871"	37342
50370	"<p><confidential-highlight-start name=""33c0e2f2-a5b2-4388-b2f6-75873029aadd""></confidential-highlight-start><span class=""confidential-highlight"">To claim confidentiality select the relevant text in your answer and click on 'claim confidentiality' button in the toolbar. You can make multiple selections and associate them with different confidentiality claims.</span><confidential-highlight-end name=""33c0e2f2-a5b2-4388-b2f6-75873029aadd""></confidential-highlight-end></p>"	"SIMPLE_TEXT"	50252	""				03-DEC-24 05.12.32.182000000 PM	"DG COMP"	1	50331	0	"AT.401086"	50252
50365	"Other(To claim confidentiality select the relevant text in your answer and click on 'claim confidentiality' button in the toolbar. You can make multiple selections and associate them with different confidentiality claims.)"	"CHOICE"	50255	""				03-DEC-24 05.12.32.182000000 PM	"DG COMP"	1	50331	0	"AT.401086"	50255
47227	"yes|Other(test)"	"CHOICE"	46280	""				03-DEC-24 11.21.21.477000000 AM	"DG COMP"	0	47202	0	"M.8871"	46280
49544	"<p>okaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa</p>"	"SIMPLE_TEXT"	46277	""				03-DEC-24 11.21.21.477000000 AM	"DG COMP"	0	47202	0	"M.8871"	46277
50364	"<p><confidential-highlight-start name=""952ada2f-a598-47c7-b97c-274773a0f2ce""></confidential-highlight-start><span class=""confidential-highlight"">To claim confidentiality select the relevant text in your answer and click on 'claim confidentiality' button in the toolbar. You can make multiple selections and associate them with different confidentiality claims.</span><confidential-highlight-end name=""952ada2f-a598-47c7-b97c-274773a0f2ce""></confidential-highlight-end></p>"	"SIMPLE_TEXT"	50249	""				03-DEC-24 05.12.32.182000000 PM	"DG COMP"	1	50331	0	"AT.401086"	50249
56056	"4"	"RATING"	54265	""				12-DEC-24 01.46.30.744000000 PM	"DG COMP"	0	54280	0	"AT.401086"	54265
56055	"no"	"CHOICE"	54256	""				12-DEC-24 01.46.30.744000000 PM	"DG COMP"	0	54280	0	"AT.401086"	54256
57480	"Other(otherpleaseexplain)"	"CHOICE"	50255	""				12-DEC-24 01.55.46.579000000 PM	"DG COMP"	1	57418	0	"AT.401086"	50255
57473	"<p><confidential-highlight-start name=""04420cd2-c241-4d79-99e5-cfeb010455c9""></confidential-highlight-start><span class=""confidential-highlight"">Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur?</span><confidential-highlight-end name=""04420cd2-c241-4d79-99e5-cfeb010455c9""></confidential-highlight-end></p>"	"SIMPLE_TEXT"	50249	""				12-DEC-24 01.55.46.579000000 PM	"DG COMP"	1	57418	0	"AT.401086"	50249
63616	"<p>this is the</p>"	"SIMPLE_TEXT"	60376	""				02-JAN-25 05.43.17.299000000 PM	"Darius TEST"	0	60959	0	"AT.49123"	60376
61107	"4"	"RATING"	60252	""				02-JAN-25 05.43.17.299000000 PM	"Darius TEST"	1	60959	0	"AT.49123"	60252
